location_type,time_of_day,day_of_week,num_suspects,weapon_involved,known_offender,prior_incidents,suspect_age,officer_on_scene,crime_type,latitude,longitude,description,date
Commercial,Afternoon,Monday,3,None,No,1,58,Yes,Theft,28.6094316012526,77.21276769390792,Type: Theft | Location: Commercial | Time: Afternoon | Weapon: None | Suspects: 3,2016-04-12
Alley,Morning,Sunday,1,Gun,No,5,52,No,Homicide,28.601965370371936,77.19896768186638,Type: Homicide | Location: Alley | Time: Morning | Weapon: Gun | Suspects: 1,2017-04-19
Alley,Evening,Sunday,4,None,Yes,1,39,No,Assault,28.604355096553338,77.2042552397596,Type: Assault | Location: Alley | Time: Evening | Weapon: None | Suspects: 4,2021-01-12
Parking Lot,Morning,Friday,2,None,Yes,3,50,No,Assault,28.59834403857485,77.19873823149001,Type: Assault | Location: Parking Lot | Time: Morning | Weapon: None | Suspects: 2,2017-06-15
Residential,Evening,Wednesday,5,Gun,Yes,3,49,Yes,Burglary,28.6203985130588,77.19688771223707,Type: Burglary | Location: Residential | Time: Evening | Weapon: Gun | Suspects: 5,2017-01-24
Alley,Afternoon,Wednesday,5,Knife,No,0,27,Yes,Assault,28.60422685904372,77.19554809521543,Type: Assault | Location: Alley | Time: Afternoon | Weapon: Knife | Suspects: 5,2019-11-07
Residential,Evening,Saturday,4,Knife,Yes,7,27,No,Assault,28.62340049340236,77.20210808364705,Type: Assault | Location: Residential | Time: Evening | Weapon: Knife | Suspects: 4,2023-03-03
Street,Evening,Wednesday,3,None,Yes,1,50,Yes,Burglary,28.607548684165884,77.22676480874988,Type: Burglary | Location: Street | Time: Evening | Weapon: None | Suspects: 3,2019-02-13
Commercial,Evening,Tuesday,4,Blunt Object,No,3,17,Yes,Assault,28.61502811813899,77.2062360120858,Type: Assault | Location: Commercial | Time: Evening | Weapon: Blunt Object | Suspects: 4,2015-11-23
Park,Evening,Wednesday,3,Blunt Object,Yes,3,60,Yes,Theft,28.57111319235659,77.20735301144695,Type: Theft | Location: Park | Time: Evening | Weapon: Blunt Object | Suspects: 3,2024-06-14
Commercial,Night,Saturday,4,None,Yes,10,60,Yes,Vandalism,28.611997833818265,77.20812775970819,Type: Vandalism | Location: Commercial | Time: Night | Weapon: None | Suspects: 4,2015-03-24
Commercial,Evening,Saturday,1,Gun,No,8,32,Yes,Homicide,28.61327214558235,77.20919620899315,Type: Homicide | Location: Commercial | Time: Evening | Weapon: Gun | Suspects: 1,2015-08-11
Commercial,Evening,Friday,5,None,No,2,42,Yes,Burglary,28.61291567795593,77.20901593731334,Type: Burglary | Location: Commercial | Time: Evening | Weapon: None | Suspects: 5,2018-04-12
Commercial,Morning,Sunday,1,Blunt Object,Yes,1,28,No,Robbery,28.616570970012084,77.20914594799022,Type: Robbery | Location: Commercial | Time: Morning | Weapon: Blunt Object | Suspects: 1,2019-09-22
Street,Morning,Saturday,5,Blunt Object,No,10,30,No,Robbery,28.61327561527282,77.22591357925606,Type: Robbery | Location: Street | Time: Morning | Weapon: Blunt Object | Suspects: 5,2016-03-11
Residential,Afternoon,Friday,3,None,No,2,40,Yes,Burglary,28.6176025898248,77.19991154881194,Type: Burglary | Location: Residential | Time: Afternoon | Weapon: None | Suspects: 3,2021-12-10
Street,Afternoon,Saturday,4,Blunt Object,No,9,26,No,Burglary,28.605078628065748,77.22690040595916,Type: Burglary | Location: Street | Time: Afternoon | Weapon: Blunt Object | Suspects: 4,2019-04-28
Alley,Night,Sunday,4,Blunt Object,Yes,9,26,No,Vandalism,28.599597781928885,77.20071400369385,Type: Vandalism | Location: Alley | Time: Night | Weapon: Blunt Object | Suspects: 4,2018-02-26
Park,Night,Thursday,4,None,Yes,0,28,No,Vandalism,28.56416749773392,77.2136062939315,Type: Vandalism | Location: Park | Time: Night | Weapon: None | Suspects: 4,2023-11-03
Parking Lot,Afternoon,Wednesday,1,Gun,No,9,27,No,Assault,28.60124899907389,77.20311660296949,Type: Assault | Location: Parking Lot | Time: Afternoon | Weapon: Gun | Suspects: 1,2021-10-12
Alley,Night,Wednesday,5,Knife,No,2,30,Yes,Vandalism,28.60096406271116,77.20443377509673,Type: Vandalism | Location: Alley | Time: Night | Weapon: Knife | Suspects: 5,2021-12-30
Residential,Evening,Tuesday,3,Knife,No,9,33,Yes,Burglary,28.617844655341283,77.19549839088917,Type: Burglary | Location: Residential | Time: Evening | Weapon: Knife | Suspects: 3,2015-02-24
Residential,Morning,Sunday,1,Blunt Object,No,1,60,Yes,Assault,28.624845390807536,77.2035583621531,Type: Assault | Location: Residential | Time: Morning | Weapon: Blunt Object | Suspects: 1,2018-12-13
Commercial,Night,Monday,5,Blunt Object,No,1,40,No,Homicide,28.61616512421006,77.20562555476137,Type: Homicide | Location: Commercial | Time: Night | Weapon: Blunt Object | Suspects: 5,2016-02-14
Residential,Evening,Sunday,4,Knife,No,9,54,No,Robbery,28.61680643530364,77.19794164379663,Type: Robbery | Location: Residential | Time: Evening | Weapon: Knife | Suspects: 4,2017-08-05
Parking Lot,Night,Wednesday,3,Knife,No,2,32,No,Assault,28.59721767423976,77.19571217811972,Type: Assault | Location: Parking Lot | Time: Night | Weapon: Knife | Suspects: 3,2016-01-09
Residential,Evening,Tuesday,3,Blunt Object,No,0,57,No,Assault,28.617270885640377,77.19665350035253,Type: Assault | Location: Residential | Time: Evening | Weapon: Blunt Object | Suspects: 3,2015-07-29
Parking Lot,Morning,Thursday,1,Knife,No,9,35,Yes,Vandalism,28.603171872568527,77.20033435058932,Type: Vandalism | Location: Parking Lot | Time: Morning | Weapon: Knife | Suspects: 1,2023-05-05
Alley,Evening,Sunday,5,None,Yes,6,17,No,Theft,28.60066091591996,77.19940288846523,Type: Theft | Location: Alley | Time: Evening | Weapon: None | Suspects: 5,2022-09-14
Parking Lot,Afternoon,Saturday,4,Blunt Object,No,1,33,Yes,Theft,28.59806551273501,77.19644921544514,Type: Theft | Location: Parking Lot | Time: Afternoon | Weapon: Blunt Object | Suspects: 4,2023-06-27
Residential,Night,Saturday,4,Knife,Yes,7,53,Yes,Robbery,28.616941671252235,77.20011259528074,Type: Robbery | Location: Residential | Time: Night | Weapon: Knife | Suspects: 4,2024-08-19
Alley,Morning,Monday,2,Gun,Yes,1,58,No,Burglary,28.60262942868113,77.19620485450278,Type: Burglary | Location: Alley | Time: Morning | Weapon: Gun | Suspects: 2,2019-05-05
Park,Morning,Sunday,1,None,No,6,57,Yes,Assault,28.568331929552603,77.21255563439527,Type: Assault | Location: Park | Time: Morning | Weapon: None | Suspects: 1,2019-05-20
Street,Night,Friday,4,None,Yes,5,30,No,Theft,28.613809634570995,77.23207325851529,Type: Theft | Location: Street | Time: Night | Weapon: None | Suspects: 4,2024-06-18
Parking Lot,Evening,Thursday,1,None,Yes,7,46,Yes,Burglary,28.5967728327312,77.19718975328566,Type: Burglary | Location: Parking Lot | Time: Evening | Weapon: None | Suspects: 1,2020-04-13
Parking Lot,Evening,Friday,1,Knife,No,0,49,Yes,Vandalism,28.60179055736421,77.19588171595693,Type: Vandalism | Location: Parking Lot | Time: Evening | Weapon: Knife | Suspects: 1,2017-01-07
Street,Morning,Saturday,1,Gun,Yes,8,55,No,Vandalism,28.609900460877675,77.23016908552046,Type: Vandalism | Location: Street | Time: Morning | Weapon: Gun | Suspects: 1,2018-09-24
Alley,Morning,Monday,5,Knife,Yes,0,51,Yes,Vandalism,28.60321220289915,77.1987562836837,Type: Vandalism | Location: Alley | Time: Morning | Weapon: Knife | Suspects: 5,2019-03-17
Commercial,Morning,Sunday,1,Gun,Yes,0,49,Yes,Robbery,28.61241168031302,77.20877729042117,Type: Robbery | Location: Commercial | Time: Morning | Weapon: Gun | Suspects: 1,2021-04-21
Residential,Morning,Sunday,1,None,No,6,32,No,Burglary,28.62173807511431,77.1989363672057,Type: Burglary | Location: Residential | Time: Morning | Weapon: None | Suspects: 1,2019-03-27
Alley,Evening,Friday,3,Blunt Object,No,0,31,Yes,Robbery,28.597019368656696,77.1989692184655,Type: Robbery | Location: Alley | Time: Evening | Weapon: Blunt Object | Suspects: 3,2019-12-01
Commercial,Night,Thursday,4,None,Yes,7,56,No,Vandalism,28.610792933167435,77.20566911365546,Type: Vandalism | Location: Commercial | Time: Night | Weapon: None | Suspects: 4,2018-03-08
Residential,Evening,Wednesday,1,None,No,6,44,Yes,Theft,28.61584300756269,77.19916110884425,Type: Theft | Location: Residential | Time: Evening | Weapon: None | Suspects: 1,2017-05-02
Park,Night,Friday,5,Gun,No,1,56,No,Homicide,28.567913465816883,77.21493483037757,Type: Homicide | Location: Park | Time: Night | Weapon: Gun | Suspects: 5,2019-07-17
Commercial,Afternoon,Sunday,1,Gun,No,6,57,Yes,Vandalism,28.61458001818831,77.20705737268426,Type: Vandalism | Location: Commercial | Time: Afternoon | Weapon: Gun | Suspects: 1,2024-02-23
Alley,Afternoon,Wednesday,3,Gun,No,6,27,No,Theft,28.60367153669057,77.20360216311946,Type: Theft | Location: Alley | Time: Afternoon | Weapon: Gun | Suspects: 3,2024-07-31
Street,Morning,Sunday,2,Knife,No,3,52,No,Vandalism,28.613267690895643,77.23278644132283,Type: Vandalism | Location: Street | Time: Morning | Weapon: Knife | Suspects: 2,2017-06-21
Street,Morning,Thursday,2,Blunt Object,Yes,4,33,No,Homicide,28.607613039213724,77.22552890515402,Type: Homicide | Location: Street | Time: Morning | Weapon: Blunt Object | Suspects: 2,2019-07-23
Alley,Night,Tuesday,3,Gun,No,0,59,Yes,Burglary,28.60332914785278,77.1987289518485,Type: Burglary | Location: Alley | Time: Night | Weapon: Gun | Suspects: 3,2017-12-24
Park,Evening,Sunday,2,Knife,No,3,33,No,Robbery,28.568020708214,77.21141913884074,Type: Robbery | Location: Park | Time: Evening | Weapon: Knife | Suspects: 2,2023-07-26
Residential,Evening,Friday,4,None,No,0,49,No,Assault,28.622171890653984,77.20351942679589,Type: Assault | Location: Residential | Time: Evening | Weapon: None | Suspects: 4,2016-05-30
Park,Night,Friday,5,Gun,No,4,60,No,Vandalism,28.56760506629881,77.21344387031185,Type: Vandalism | Location: Park | Time: Night | Weapon: Gun | Suspects: 5,2021-02-09
Street,Morning,Sunday,4,Knife,No,7,26,No,Assault,28.60547833078376,77.23049064258488,Type: Assault | Location: Street | Time: Morning | Weapon: Knife | Suspects: 4,2022-10-30
Commercial,Night,Monday,1,Blunt Object,No,4,38,No,Homicide,28.61339212665789,77.20673677785551,Type: Homicide | Location: Commercial | Time: Night | Weapon: Blunt Object | Suspects: 1,2022-11-15
Commercial,Afternoon,Thursday,2,None,No,6,17,Yes,Assault,28.618150728668223,77.20885122121777,Type: Assault | Location: Commercial | Time: Afternoon | Weapon: None | Suspects: 2,2017-12-21
Residential,Night,Friday,4,Blunt Object,No,1,57,No,Burglary,28.620948983022444,77.1975112450507,Type: Burglary | Location: Residential | Time: Night | Weapon: Blunt Object | Suspects: 4,2024-07-22
Parking Lot,Evening,Saturday,2,Gun,No,1,27,No,Assault,28.59650378561947,77.20115339800779,Type: Assault | Location: Parking Lot | Time: Evening | Weapon: Gun | Suspects: 2,2023-01-22
Alley,Afternoon,Sunday,5,None,No,3,33,Yes,Burglary,28.603875647279786,77.19818084533064,Type: Burglary | Location: Alley | Time: Afternoon | Weapon: None | Suspects: 5,2021-07-31
Street,Night,Tuesday,2,Blunt Object,Yes,7,29,No,Robbery,28.6125440182125,77.23102643319572,Type: Robbery | Location: Street | Time: Night | Weapon: Blunt Object | Suspects: 2,2019-07-26
Alley,Night,Monday,5,None,No,9,51,No,Burglary,28.600835658008112,77.20328071070425,Type: Burglary | Location: Alley | Time: Night | Weapon: None | Suspects: 5,2017-06-29
Residential,Night,Wednesday,4,Blunt Object,No,8,39,Yes,Assault,28.620112201480048,77.19684485767226,Type: Assault | Location: Residential | Time: Night | Weapon: Blunt Object | Suspects: 4,2024-12-24
Residential,Evening,Monday,1,Knife,No,5,51,Yes,Burglary,28.624419552227284,77.19873082165212,Type: Burglary | Location: Residential | Time: Evening | Weapon: Knife | Suspects: 1,2017-10-29
Commercial,Afternoon,Monday,1,Knife,No,2,54,No,Theft,28.6175467978348,77.20797160887578,Type: Theft | Location: Commercial | Time: Afternoon | Weapon: Knife | Suspects: 1,2023-12-15
Park,Night,Friday,3,Knife,No,1,48,Yes,Assault,28.570151555225912,77.21140093463256,Type: Assault | Location: Park | Time: Night | Weapon: Knife | Suspects: 3,2021-01-31
Park,Evening,Tuesday,2,Blunt Object,No,9,39,Yes,Robbery,28.56969508677162,77.20698079413543,Type: Robbery | Location: Park | Time: Evening | Weapon: Blunt Object | Suspects: 2,2018-03-22
Street,Night,Saturday,5,None,Yes,3,19,No,Assault,28.61417335903384,77.23465759931351,Type: Assault | Location: Street | Time: Night | Weapon: None | Suspects: 5,2017-05-19
Alley,Morning,Monday,3,None,Yes,0,43,Yes,Robbery,28.60144213672404,77.20211403306394,Type: Robbery | Location: Alley | Time: Morning | Weapon: None | Suspects: 3,2022-05-29
Parking Lot,Evening,Thursday,4,Gun,No,2,32,Yes,Robbery,28.603361809182733,77.1954867049154,Type: Robbery | Location: Parking Lot | Time: Evening | Weapon: Gun | Suspects: 4,2016-07-05
Alley,Night,Tuesday,1,Blunt Object,No,10,41,No,Robbery,28.595644875703584,77.2020134060728,Type: Robbery | Location: Alley | Time: Night | Weapon: Blunt Object | Suspects: 1,2022-07-18
Residential,Morning,Tuesday,2,Knife,No,4,19,No,Burglary,28.62091896204008,77.19511036327715,Type: Burglary | Location: Residential | Time: Morning | Weapon: Knife | Suspects: 2,2021-03-14
Park,Night,Saturday,2,Knife,Yes,7,17,Yes,Assault,28.566690888495728,77.21037216634522,Type: Assault | Location: Park | Time: Night | Weapon: Knife | Suspects: 2,2024-08-09
Commercial,Afternoon,Saturday,2,Gun,No,7,30,Yes,Vandalism,28.61538498365612,77.20838564476212,Type: Vandalism | Location: Commercial | Time: Afternoon | Weapon: Gun | Suspects: 2,2023-04-01
Parking Lot,Evening,Thursday,5,None,Yes,10,34,Yes,Homicide,28.599781796377453,77.1964358604775,Type: Homicide | Location: Parking Lot | Time: Evening | Weapon: None | Suspects: 5,2015-08-08
Parking Lot,Morning,Tuesday,1,Blunt Object,No,2,25,Yes,Robbery,28.596217833904955,77.20298508467931,Type: Robbery | Location: Parking Lot | Time: Morning | Weapon: Blunt Object | Suspects: 1,2022-04-19
Park,Night,Saturday,4,Knife,No,2,31,No,Vandalism,28.56712366222314,77.21053667932387,Type: Vandalism | Location: Park | Time: Night | Weapon: Knife | Suspects: 4,2019-11-26
Alley,Evening,Monday,5,Gun,No,2,55,Yes,Theft,28.598166704676032,77.19891979645465,Type: Theft | Location: Alley | Time: Evening | Weapon: Gun | Suspects: 5,2020-12-16
Parking Lot,Evening,Wednesday,2,Blunt Object,Yes,6,21,Yes,Burglary,28.599746901784567,77.19917334133306,Type: Burglary | Location: Parking Lot | Time: Evening | Weapon: Blunt Object | Suspects: 2,2022-04-08
Parking Lot,Night,Thursday,5,Blunt Object,No,2,18,Yes,Homicide,28.59742167591145,77.19951433001954,Type: Homicide | Location: Parking Lot | Time: Night | Weapon: Blunt Object | Suspects: 5,2024-10-14
Park,Evening,Thursday,3,Gun,Yes,8,43,Yes,Vandalism,28.57065374648241,77.20539351760678,Type: Vandalism | Location: Park | Time: Evening | Weapon: Gun | Suspects: 3,2017-03-23
Alley,Evening,Saturday,3,None,Yes,0,34,No,Homicide,28.60323241289682,77.19680326205564,Type: Homicide | Location: Alley | Time: Evening | Weapon: None | Suspects: 3,2016-09-22
Parking Lot,Evening,Sunday,4,None,Yes,6,26,No,Vandalism,28.59513546602104,77.19649547357902,Type: Vandalism | Location: Parking Lot | Time: Evening | Weapon: None | Suspects: 4,2021-05-15
Alley,Evening,Thursday,3,None,No,6,19,Yes,Vandalism,28.601519184229183,77.19917410947397,Type: Vandalism | Location: Alley | Time: Evening | Weapon: None | Suspects: 3,2018-03-19
Residential,Evening,Monday,4,Blunt Object,No,2,41,No,Assault,28.62168143989726,77.19578598031835,Type: Assault | Location: Residential | Time: Evening | Weapon: Blunt Object | Suspects: 4,2022-01-29
Parking Lot,Afternoon,Wednesday,1,Knife,No,5,41,Yes,Homicide,28.600483688122,77.20414103420167,Type: Homicide | Location: Parking Lot | Time: Afternoon | Weapon: Knife | Suspects: 1,2021-11-18
Alley,Morning,Saturday,4,Knife,No,1,17,No,Robbery,28.59646236679499,77.20302057022542,Type: Robbery | Location: Alley | Time: Morning | Weapon: Knife | Suspects: 4,2020-10-25
Parking Lot,Afternoon,Monday,3,None,Yes,9,44,No,Assault,28.5968773044842,77.20455748935895,Type: Assault | Location: Parking Lot | Time: Afternoon | Weapon: None | Suspects: 3,2022-10-22
Park,Evening,Monday,3,Blunt Object,No,8,28,Yes,Theft,28.564233695349728,77.21421883715244,Type: Theft | Location: Park | Time: Evening | Weapon: Blunt Object | Suspects: 3,2018-12-10
Alley,Night,Saturday,2,Knife,Yes,8,17,No,Vandalism,28.59553366905223,77.19838476115153,Type: Vandalism | Location: Alley | Time: Night | Weapon: Knife | Suspects: 2,2017-12-10
Alley,Evening,Sunday,1,Blunt Object,No,6,24,No,Assault,28.60448889775041,77.19915624515065,Type: Assault | Location: Alley | Time: Evening | Weapon: Blunt Object | Suspects: 1,2022-06-18
Residential,Afternoon,Wednesday,2,Knife,Yes,0,18,No,Theft,28.62047068976956,77.19574296942365,Type: Theft | Location: Residential | Time: Afternoon | Weapon: Knife | Suspects: 2,2023-08-22
Commercial,Afternoon,Saturday,1,Blunt Object,No,1,50,Yes,Homicide,28.611922197983045,77.20982396972134,Type: Homicide | Location: Commercial | Time: Afternoon | Weapon: Blunt Object | Suspects: 1,2020-04-29
Residential,Night,Thursday,3,None,No,0,18,Yes,Homicide,28.617841624937423,77.19909645098598,Type: Homicide | Location: Residential | Time: Night | Weapon: None | Suspects: 3,2019-02-20
Residential,Night,Sunday,4,Blunt Object,No,9,55,Yes,Assault,28.62416591928371,77.19921436117953,Type: Assault | Location: Residential | Time: Night | Weapon: Blunt Object | Suspects: 4,2020-04-28
Alley,Morning,Sunday,2,None,No,9,43,Yes,Homicide,28.59595402905828,77.2046836811704,Type: Homicide | Location: Alley | Time: Morning | Weapon: None | Suspects: 2,2015-08-11
Residential,Afternoon,Monday,3,Blunt Object,No,1,19,Yes,Vandalism,28.62454064113769,77.19794692226024,Type: Vandalism | Location: Residential | Time: Afternoon | Weapon: Blunt Object | Suspects: 3,2023-12-24
Street,Morning,Friday,5,None,No,9,45,Yes,Burglary,28.60995079516416,77.23454728293186,Type: Burglary | Location: Street | Time: Morning | Weapon: None | Suspects: 5,2015-07-17
Parking Lot,Afternoon,Friday,3,None,No,1,29,Yes,Burglary,28.600896266065384,77.20235615261977,Type: Burglary | Location: Parking Lot | Time: Afternoon | Weapon: None | Suspects: 3,2023-01-19
Park,Night,Saturday,2,None,Yes,6,33,Yes,Theft,28.56492752874992,77.2133891232597,Type: Theft | Location: Park | Time: Night | Weapon: None | Suspects: 2,2018-11-23
Parking Lot,Evening,Sunday,1,None,No,8,39,Yes,Robbery,28.60429949643565,77.19892953783884,Type: Robbery | Location: Parking Lot | Time: Evening | Weapon: None | Suspects: 1,2024-07-28
Park,Morning,Wednesday,2,Knife,No,8,20,Yes,Burglary,28.56604091727753,77.21285546420906,Type: Burglary | Location: Park | Time: Morning | Weapon: Knife | Suspects: 2,2015-01-07
Street,Night,Friday,3,Knife,No,9,23,No,Vandalism,28.611786802789428,77.23243522072323,Type: Vandalism | Location: Street | Time: Night | Weapon: Knife | Suspects: 3,2016-04-13
Alley,Morning,Saturday,3,Blunt Object,No,6,17,Yes,Burglary,28.59717632686604,77.20333091122622,Type: Burglary | Location: Alley | Time: Morning | Weapon: Blunt Object | Suspects: 3,2024-09-04
Parking Lot,Evening,Tuesday,3,None,Yes,7,44,No,Homicide,28.60065374384185,77.19559293241998,Type: Homicide | Location: Parking Lot | Time: Evening | Weapon: None | Suspects: 3,2018-07-01
Parking Lot,Night,Wednesday,4,Gun,Yes,7,50,No,Vandalism,28.60416023302457,77.20356420564377,Type: Vandalism | Location: Parking Lot | Time: Night | Weapon: Gun | Suspects: 4,2024-05-16
Park,Afternoon,Thursday,5,None,No,4,48,Yes,Theft,28.56551611788643,77.21331968612137,Type: Theft | Location: Park | Time: Afternoon | Weapon: None | Suspects: 5,2021-10-11
